item_id,item_name,item_description,delivery_price,instore_price,tax_rate,allergens,calories,hfss,max_quantity,age_restricted,plu,barcodes,ian,classifications,replacement_eligible,substitution_eligible,internal_name,dietary_information,returnable,irish_drs_deposit_fee,irish_drs_items_per_pack
325b22a8-3e6b-4423-92a6-d5495b4e5482,Brockmans Intensely Smooth Gin,Arp.,50,,0,,,false,,true,,,,,true,true,Brockmans Intensely Smooth Gin,,,,
fa98571f-12cd-468a-aa02-6d77ca25fba4,Brunello Di Montalcino Banfi 2019,Arp.,54.95,,0,,,false,,false,,,,,true,true,Brunello Di Montalcino Banfi 2019,,,,
b559cf9e-73ee-46c8-a669-c72d16eaab5f,Budweiser Budvar Original 4-Pack,Arp.,10.99,,0,,,false,,true,,,,,true,true,Budweiser Budvar Original 4-Pack,,,,
ed1d608f-0d1f-4dbc-bcaa-5962d511768e,Buffalo Trace Kentucky Straight Bourbon Whiskey,Arp.,50,,0,,,false,,true,,,,,true,true,Buffalo Trace Kentucky Straight Bourbon Whiskey,,,,
0c10fbf4-d19f-4c5d-99f5-487f4d9d295d,Bulleit Bourbon Frontier Whiskey,Arp.,43,,0,,,false,,true,,,,,true,true,Bulleit Bourbon Frontier Whiskey,,,,
4b105337-afc8-4f42-b9c3-76502a6838b7,Bumbu Rum,Arp.,38,,0,,,false,,true,,,,,true,true,Bumbu Rum,,,,
d32ad8c6-82fa-4bf7-b251-326031970bd6,Bushmills 16 Year Old Single Malt Irish Whiskey,Arp.,128,,0,,,false,,true,,,,,true,true,Bushmills 16 Year Old Single Malt Irish Whiskey,,,,
2781cc1c-3256-41a8-be06-4e772917954f,Bushmills 2011 the Causeway Collection Irish Whiskey,Arp.,115,,0,,,false,,true,,,,,true,true,Bushmills 2011 the Causeway Collection Irish Whiskey,,,,
0420199c-5d08-4d41-8620-350dce9d1903,Bushmills Single Malt 10 Year Old Irish Whiskey,Arp.,59.95,,0,,,false,,true,,,,,true,true,Bushmills Single Malt 10 Year Old Irish Whiskey,,,,
b045a6dc-c58d-468f-83a4-dec3bbc8ac4e,Bushmills Single Malt Irish Whiskey 1995 Marsala Casks,Arp.,495,,0,,,false,,true,,,,,true,true,Bushmills Single Malt Irish Whiskey 1995 Marsala Casks,,,,
f8d192a5-aff8-497e-8119-e9757a016382,Bushmills the Original Irish Whiskey,Arp.,32.5,,0,,,false,,true,,,,,true,true,Bushmills the Original Irish Whiskey,,,,
7201a136-f4a3-4873-ab9f-90936817f305,Buzzballz Cocktails,Arp.,5.95,,0,,,false,,true,,,,,true,true,Buzzballz Cocktails,,,,
1156ffaa-d7a0-4d59-8166-10e293c9490b,Castello Di Albola Chianti Classico,Arp.,24.95,,0,,,false,,false,,,,,true,true,Castello Di Albola Chianti Classico,,,,
159dd0d9-064b-4d49-becb-dabd24b36a7e,"Chablis ""La Sereine""",Arp.,34.99,,0,,,false,,false,,,,,true,true,"Chablis ""La Sereine""",,,,
