Name,Category,Price,Description,Country,Region,Producer,Wine Type,Spirit Type,Beer Style,ABV,Volume (ml)
Trappistes Rochefort Gift Box,Beer,26.5,,Belgium,,Trappistes Rochefort,,,Lager,8,330
Chouffe Gift Box,Beer,24.99,,Belgium,,Brasserie Chouffe,,,IPA,,330
Sierra Nevada Hazy IPA Pack,Beer,32.5,,United States,,Sierra Nevada Brewing Co.,,,IPA,8,355
German Helles Lager Variety Pack,Beer,23.9,,Germany,,Various German Breweries,,,Lager,,500
Desperados Beer 6*330ml,Beer,15.5,,Netherlands,,Desperados,,,Lager,5.9,330
Sol Cerveza,Beer,14.5,,Mexico,,Sol,,,Lager,,330
Modelo Especial,Beer,11.5,,Mexico,,Modelo,,,Lager,4.5,355
Desperados Beer,Beer,3.5,,Netherlands,,Desperados,,,Lager,5.9,330
BuzzBallz Cocktails,Spirit,5.95,,USA,,BuzzBallz,,Liqueur,,13.5,200
Jackrabbit Ginger Beer,Beer,4.75,,Ireland,,Jackrabbit,,,Ginger Beer,4,500
Kingfisher Premium Lager,Beer,4.45,,India,,Kingfisher,,,Lager,,330
Erdinger Beer,Beer,3.95,,Germany,,Erdinger,,,Wheat Beer,,500
Bira Moretti L'Autentica,Beer,12.95,,Italy,,Moretti,,,Lager,4.6,330
Bira Moretti Sale di Mare,Beer,10.5,,Italy,,Moretti,,,Lager,4.8,330
Peroni Nastro Azzurro,Beer,12.5,,Italy,,Peroni,,,Lager,,330
Galway Bay Brewery Beer,Beer,3.5,,Ireland,,Galway Bay Brewery,,,IPA,5.8,440
Wicklow Wolf Beer,Beer,3.95,,Ireland,,Wicklow Wolf,,,IPA,4.3,440
The Dew Drop Brewhouse Beer,Beer,3.5,,Ireland,,The Dew Drop Brewhouse,,,Pale Ale,4.8,440
La Chouffe Beer,Beer,3.99,,Belgium,,Brasserie Chouffe,,,IPA,,330
Thatchers Cider,Beer,4.5,,United Kingdom,,Thatchers,,,Lager,4.9,500
Kinnegar Beer,Beer,3.85,,Ireland,,Kinnegar,,,IPA,,440
Hollows & Fentimans Ginger Beer,Beer,5.95,,United Kingdom,,Hollows & Fentimans,,,Ginger Beer,4,275
Einsiedler Weissbier,Beer,3.8,,Germany,,Einsiedler Brauhaus,,,Wheat Beer,5.3,500
Einsiedler Hell,Beer,3.85,,Germany,,Einsiedler Brauhaus,,,Lager,4.9,500
Asahi Super Dry,Beer,4.9,,Japan,,Asahi Breweries,,,Lager,5,620
Augustiner Lagerbier Hell,Beer,4.2,,Germany,Munich,Augustiner-Bräu,,,Lager,5.2,500
Figo Italian Pilsner,Beer,4,,Italy,,Figo,,,Pilsner,4.5,250
Daura Damm Gluten-Free 4-Pack,Beer,11.95,,Spain,,Damm,,,Lager,5.4,1320
Madrí Excepcional 4-Pack,Beer,9.95,,Spain,,Madrí Excepcional,,,Lager,4.6,1320
Budweiser Budvar Original 4-Pack,Beer,10.99,,Czech Republic,,Budweiser Budvar,,,Lager,5,2000
Stella Artois 4-Pack,Beer,10.5,,Belgium,,Anheuser-Busch InBev,,,Lager,4.8,2000
